id,shop_id,e_time
1,21143715,"[{'word': 'to', 'count': 13}, {'word': 'you', 'count': 12}, {'word': 'for', 'count': 10}, {'word': 'or', 'count': 9}, {'word': 'the', 'count': 8}]",1568344371.9786286
2,21143219,"[{'word': 'the', 'count': 12}, {'word': 'and', 'count': 7}, {'word': 'of', 'count': 6}, {'word': 'sample', 'count': 5}, {'word': 'is', 'count': 5}]",1568344371.9786477
3,21142965,"[{'word': 'the', 'count': 7}, {'word': 'handmade', 'count': 3}, {'word': 'wood', 'count': 3}, {'word': 'models', 'count': 2}, {'word': 'sailboat', 'count': 2}]",1568344371.9786642
4,21142331,"[{'word': 'casual', 'count': 4}, {'word': 'men', 'count': 3}, {'word': 'jacket', 'count': 3}, {'word': 'to', 'count': 2}, {'word': 'you', 'count': 2}]",1568344371.9786806
5,21141491,"[{'word': 'to', 'count': 6}, {'word': '–', 'count': 6}, {'word': 'wood', 'count': 4}, {'word': 'phone', 'count': 4}, {'word': 'case', 'count': 3}]",1568344371.978696
6,21140651,"[{'word': 'double', 'count': 1}, {'word': 'bow4in', 'count': 1}, {'word': 'police', 'count': 1}, {'word': 'bow', 'count': 1}]",1568344371.9787164
7,21139507,"[{'word': 'to', 'count': 13}, {'word': 'you', 'count': 12}, {'word': 'for', 'count': 10}, {'word': 'the', 'count': 8}, {'word': 'or', 'count': 8}]",1568344371.9787307
8,21139433,"[{'word': 'the', 'count': 7}, {'word': 'to', 'count': 5}, {'word': 'your', 'count': 3}, {'word': 'gift', 'count': 3}, {'word': 'bag', 'count': 3}]",1568344371.9787462
9,21139327,"[{'word': 'a', 'count': 4}, {'word': 'and', 'count': 3}, {'word': 'with', 'count': 3}, {'word': 'sports', 'count': 2}, {'word': 'hook', 'count': 1}]",1568344371.9787612
10,21139109,"[{'word': 'the', 'count': 7}, {'word': 'on', 'count': 5}, {'word': 'iron', 'count': 4}, {'word': 'logo', 'count': 4}, {'word': 'cowboys', 'count': 3}]",1568344371.9787762
