id,shop_id,e_time
1,21143715,"[{'word': 'to', 'count': 13}, {'word': 'you', 'count': 12}, {'word': 'for', 'count': 10}, {'word': 'or', 'count': 9}, {'word': 'the', 'count': 8}]",1568343195.772219
2,21143219,"[{'word': 'the', 'count': 12}, {'word': 'and', 'count': 7}, {'word': 'of', 'count': 6}, {'word': 'sample', 'count': 5}, {'word': 'a', 'count': 5}]",1568343195.7722454
3,21142965,"[{'word': 'the', 'count': 7}, {'word': 'handmade', 'count': 3}, {'word': 'wood', 'count': 3}, {'word': 'ship', 'count': 2}, {'word': 'inc', 'count': 2}]",1568343195.772267
4,21142331,"[{'word': 'casual', 'count': 4}, {'word': 'jacket', 'count': 3}, {'word': 'men', 'count': 3}, {'word': 'you', 'count': 2}, {'word': 'bomber', 'count': 2}]",1568343195.7722876
5,21141491,"[{'word': '–', 'count': 6}, {'word': 'to', 'count': 6}, {'word': 'wood', 'count': 4}, {'word': 'phone', 'count': 4}, {'word': 'plus', 'count': 3}]",1568343195.7723079
6,21140651,"[{'word': 'police', 'count': 1}, {'word': 'double', 'count': 1}, {'word': 'bow', 'count': 1}, {'word': 'bow4in', 'count': 1}]",1568343195.7723331
7,21139507,"[{'word': 'to', 'count': 13}, {'word': 'you', 'count': 12}, {'word': 'for', 'count': 10}, {'word': 'or', 'count': 8}, {'word': 'the', 'count': 8}]",1568343195.772351
8,21139433,"[{'word': 'the', 'count': 7}, {'word': 'to', 'count': 5}, {'word': 'your', 'count': 3}, {'word': 'gift', 'count': 3}, {'word': 'for', 'count': 3}]",1568343195.77237
9,21139327,"[{'word': 'a', 'count': 4}, {'word': 'with', 'count': 3}, {'word': 'and', 'count': 3}, {'word': 'sports', 'count': 2}, {'word': 'piece', 'count': 1}]",1568343195.7723897
10,21139109,"[{'word': 'the', 'count': 7}, {'word': 'on', 'count': 5}, {'word': 'iron', 'count': 4}, {'word': 'logo', 'count': 4}, {'word': 'days', 'count': 3}]",1568343195.7724097
