id,shop_id,e_time
1,21139507,"[{'word': 'to', 'count': 13}, {'word': 'you', 'count': 12}, {'word': 'for', 'count': 10}, {'word': 'the', 'count': 8}, {'word': 'or', 'count': 8}]",1568339049.8831189
2,21139327,"[{'word': 'a', 'count': 4}, {'word': 'with', 'count': 3}, {'word': 'and', 'count': 3}, {'word': 'sports', 'count': 2}, {'word': 'perfect', 'count': 1}]",1568339049.8831427
3,21139109,"[{'word': 'the', 'count': 7}, {'word': 'on', 'count': 5}, {'word': 'logo', 'count': 4}, {'word': 'iron', 'count': 4}, {'word': 'days', 'count': 3}]",1568339049.8831635
4,21138983,"[{'word': 'the', 'count': 3}, {'word': 'to', 'count': 3}, {'word': 'for', 'count': 3}, {'word': 'delivery', 'count': 2}, {'word': 'crystal', 'count': 2}]",1568339049.8831804
5,21138925,"[{'word': 'your', 'count': 11}, {'word': 'you', 'count': 11}, {'word': 'to', 'count': 8}, {'word': 'the', 'count': 8}, {'word': '-', 'count': 7}]",1568339049.8831923
6,21138873,"[{'word': 'Error Code Status 404', 'count': 1}]",1568339049.8832037
7,21138615,"[{'word': 'you', 'count': 17}, {'word': 'to', 'count': 15}, {'word': 'or', 'count': 15}, {'word': 'the', 'count': 14}, {'word': 'your', 'count': 13}]",1568339049.8832097
8,21138341,"[{'word': 'your', 'count': 11}, {'word': 'you', 'count': 11}, {'word': 'to', 'count': 8}, {'word': 'the', 'count': 8}, {'word': '-', 'count': 7}]",1568339049.8832207
9,21137261,"[{'word': 'files', 'count': 5}, {'word': 'svg', 'count': 4}, {'word': 'for', 'count': 3}, {'word': 'png', 'count': 2}, {'word': 'cut', 'count': 2}]",1568339049.8832316
10,21136971,"[{'word': 'bears', 'count': 5}, {'word': 'files', 'count': 5}, {'word': 'floss', 'count': 4}, {'word': 'svg', 'count': 3}, {'word': 'cut', 'count': 2}]",1568339049.8832428
