id,shop_id,e_time
1,21143715,"[{'word': 'to', 'count': 325}, {'word': 'you', 'count': 300}, {'word': 'for', 'count': 250}, {'word': 'or', 'count': 225}, {'word': 'the', 'count': 200}]",1568348232.9055314
2,21143219,"[{'word': 'the', 'count': 246}, {'word': 'and', 'count': 185}, {'word': 'of', 'count': 168}, {'word': 'a', 'count': 129}, {'word': 'sample', 'count': 125}]",1568348232.9055421
3,21142965,"[{'word': 'the', 'count': 175}, {'word': 'wood', 'count': 75}, {'word': 'handmade', 'count': 75}, {'word': 'boat', 'count': 54}, {'word': 'inc', 'count': 50}]",1568348232.9055512
4,21142331,"[{'word': 'to', 'count': 59}, {'word': 'you', 'count': 51}, {'word': 'for', 'count': 51}, {'word': 'jacket', 'count': 46}, {'word': 'of', 'count': 41}]",1568348232.9055593
5,21141491,"[{'word': 'to', 'count': 150}, {'word': 'wood', 'count': 100}, {'word': 'phone', 'count': 100}, {'word': 'case', 'count': 75}, {'word': 'and', 'count': 75}]",1568348232.9055667
6,21140651,"[{'word': 'bow4in', 'count': 16}, {'word': 'double', 'count': 6}, {'word': 'layer', 'count': 5}, {'word': 'bows4in', 'count': 5}, {'word': 'with', 'count': 4}]",1568348232.9055746
7,21139507,"[{'word': 'to', 'count': 325}, {'word': 'you', 'count': 300}, {'word': 'for', 'count': 250}, {'word': 'the', 'count': 200}, {'word': 'or', 'count': 200}]",1568348232.9055827
8,21139433,"[{'word': 'the', 'count': 123}, {'word': 'to', 'count': 121}, {'word': 'in', 'count': 75}, {'word': 'and', 'count': 63}, {'word': 'your', 'count': 63}]",1568348232.9055903
9,21139327,"[{'word': 'glossy', 'count': 46}, {'word': 'mug', 'count': 25}, {'word': 'white', 'count': 25}, {'word': '11oz', 'count': 25}, {'word': 'dishwasher', 'count': 23}]",1568348232.905598
10,21139109,"[{'word': 'the', 'count': 175}, {'word': 'on', 'count': 125}, {'word': 'iron', 'count': 100}, {'word': 'logo', 'count': 90}, {'word': 'bussiness', 'count': 75}]",1568348232.9056058
